id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
10146,151523,,6th of October City,3190000.0,,,,,21,1.0,411.0,,,Apartment
3353,77959,3903000.0,6th of October City,4000000.0,3903000.0,2022-10-17 00:00:00,2022-10-17 00:00:00,2022-11-01 00:00:00,21,1.0,258.0,Primary,,Apartment
689,28466,3940000.0,6th October,,,2020-12-08 00:00:00,,2020-12-24 00:00:00,21,1.0,402.0,,,Apartment
9269,310033,4460740.0,Mostakbal City,6500000.0,8921479.0,2023-10-26 00:00:00,2023-10-29 11:19:00,2023-11-29 00:00:00,21,10.0,996.0,Primary,8.0,Apartment
3378,143957,1829713.0,6th of October City,,1829713.0,2022-10-17 00:00:00,2022-10-18 00:00:00,2022-12-11 00:00:00,21,1.0,223.0,Primary,10.0,Apartment
8253,253191,3928650.0,6th of October City,,7857300.0,2023-08-08 00:00:00,2023-08-10 00:00:00,2023-08-16 00:00:00,21,1.0,391.0,Primary,4.0,Apartment
747,30225,2009000.0,El Shorouk,,,2021-03-04 00:00:00,,2021-03-18 00:00:00,21,8.0,219.0,Primary,,Apartment
845,35755,2030000.0,6th October,,,2021-06-20 00:00:00,,,4,1.0,411.0,,,Penthouse
10031,342525,12098583.0,Mostakbal City,,12098583.0,2023-11-13 00:00:00,,2023-11-14 00:00:00,21,10.0,1104.0,Primary,8.0,Apartment
3409,145069,1873013.0,6th of October City,,1873013.0,2022-10-24 00:00:00,2022-10-24 00:00:00,2022-12-15 00:00:00,21,1.0,223.0,Primary,10.0,Apartment
575,22879,1196508.0,Haptown,,,2020-05-18 00:00:00,,2020-06-20 00:00:00,21,,,,,Apartment
3687,126735,3140000.0,Mostakbal City,,3140000.0,2022-12-04 00:00:00,2022-12-06 00:00:00,2022-12-21 00:00:00,21,10.0,202.0,Primary,9.0,Apartment
10332,345316,5558255.0,Mostakbal City,,5558255.0,2023-11-12 00:00:00,,2023-11-28 00:00:00,21,10.0,196.0,Primary,8.0,Apartment
3427,145351,4860000.0,New Cairo,4860000.0,4860000.0,2022-10-27 00:00:00,2022-10-31 00:00:00,2022-12-05 00:00:00,21,2.0,207.0,Primary,8.0,Apartment
8884,141592,7189526.0,Mostakbal City,4500000.0,,2023-10-31 00:00:00,2023-10-31 21:16:00,2023-11-28 00:00:00,21,10.0,996.0,Primary,8.0,Apartment
8908,141592,7168425.0,Mostakbal City,4500000.0,,2023-10-31 00:00:00,2023-10-31 21:14:00,2023-11-28 00:00:00,21,10.0,996.0,Primary,8.0,Apartment
3954,158964,2730000.0,New Cairo,,2730000.0,2023-01-05 00:00:00,,2023-01-05 00:00:00,21,2.0,410.0,Primary,5.0,Apartment
8901,133915,3512700.0,Mostakbal City,3500000.0,,2023-09-22 00:00:00,2023-09-26 08:52:00,2023-10-19 00:00:00,21,10.0,973.0,Primary,8.0,Apartment
5925,161963,8364712.0,New Cairo,,8364712.0,2023-02-28 00:00:00,2023-02-28 00:00:00,2023-02-28 00:00:00,21,2.0,754.0,Primary,6.0,Apartment
788,32056,2928034.0,New Cairo,,,2021-04-24 00:00:00,,2021-04-28 00:00:00,21,2.0,227.0,Primary,,Apartment
